Modified MFT Dictionary				
For Congressional Record Databases (Congressional Speeches)				
				
				
				
				
%				
0                      Core Word (must remain in all dynamic dictionaries)				
01                    HarmVirtue				
02                    HarmVice				
03                    FairnessVirtue				
04                    FairnessVice				
05                    IngroupVirtue				
06                    IngroupVice				
07                    AuthorityVirtue				
08                    AuthorityVice				
09                   Institutional PurityVirtue				
10                   Institutional PurityVice				
11                   Sexual PurityVice				
12                   Sexual PurityVice				
				
%				
				
				
stem	Core	category 1	category 2	category 3
benefit        		1		
benefits		1		
benefitted		1		
care	0	1		
caring	0	1		
charity	0	1		
compassion	0	1		
compassionate		1		
defend		1		
defended		1		
defends		1		
dignity		1	9	
forgive	0	1		
forgiven	0	1		
forgives	0	1		
heal	0	1		
kindness		1		
love		1		
merciful		1		
mercy		1		
needy		1		
pity		1		
poverty	0	1		
preservation		1		
preserve		1		
preserves		1		
protect	0	1		
protects	0	1		
refuge		1		
respect		1	7	9
respected		1	7	9
respectful		1	7	9
respects		1	7	9
safe		1		
sensitive		1		
serve		1	7	
service		1		
shelter		1		
shield		1		
shields		1		
sympathetic	0	1		
sympathy	0	1		
welfare		1		
abandon		2		
abandoned		2		
abandons		2		
abuse	0	2	10	
abusive	0	2	10	
addict		2		
addiction		2		
affliction		2		
anguish 		2		
attack	0	2		
attacked	0	2		
bigot		2	4	
bigoted		2	4	
condemned		2		
crime	0	2	10	
cruel		2		
deceived		2	10	
deceiver		2	10	
deceiving		2	10	
degradation		2		
degraded		2		
denial		2		
harm	0	2		
harmed	0	2		
harmful	0	2		
hate	0	2		
hated	0	2		
hateful	0	2		
hurt	0	2		
hurtful	0	2		
indifferent		2	10	
insensitive		2		
killed		2		
malice	0	2	10	
murder		2		
murdered		2		
offensive		2		
oppression	0	2		
pain		2		
persecuted		2		
persecution		2		
punish		2		
punished		2		
punishment		2		
racist		2	4	
ridicule		2		
sorrow		2		
suffer	0	2		
suffered	0	2		
suffering	0	2		
threat		2		
threaten		2		
torture		2		
tortured		2		
tyranny		2		
aboveboard		3	9	
balance		3		
balanced	0	3		
consistent		3		
consistently		3		
constant		3		
deserve		3		
deserved		3		
deserving		3		
egalitarian		3		
equable		3		
equal	0	3		
equality	0	3		
equals	0	3		
equity	0	3		
equivalent		3		
evenhanded		3		
even-handed		3		
fairly	0	3		
fair-minded		3	9	
fairness		3		
fairplay	0	3		
impartial	0	3	9	
impartiality	0	3	9	
impartially	0	3	9	
impersonal		3		
justice	0	3		
justifiable		3		
justified		3		
lawful	0	3	9	
merit		3		
merited 		3		
nonpartisan	0	3		
open-minded		3		
principled		3	9	
proper		3		
reasonable		3	9	
reciprocal		3		
reciprocity		3		
redistribution		3		
redress		3		
reparation		3		
rightful	0	3		
rights		3		
tolerance		3		
tolerate		3		
unbiased	0	3	9	
unprejudiced		3	9	
upright		3	9	
warranted		3		
arbitrary		4		
bias	0	4	10	
biased	0	4	10	
corrupt	0	4	10	
corrupted		4	10	
discriminated		4		
discrimination	0	4		
dishonest	0	4	10	
excluded		4	6	
favoritism		4	10	
favoritisms		4	10	
improper		4	8	10
inequality	0	4		
inequitable	0	4	10	
inequitably	0	4		
injustice	0	4		
partisan	0	4	10	
preference		4		
prejudice	0	4	10	
prejudiced	0	4	10	
segregated	0	4	6	
undeserved		4		
unearned		4		
unequal		4		
unfair	0	4		
unfairly	0	4		
unjust	0	4	10	
unjustly	0	4		
unprincipled		4	10	
unscrupulous		4	10	
unwarranted		4		
accord		5		
adherents		5		
allegiance		5	7	
allies		5		
ally		5		
American	0	5		
Americans	0	5		
belong	0	5		
belonging	0	5		
belongs	0	5		
brotherhood		5		
cadre		5		
clique		5		
collective		5		
communal		5		
commune		5		
communitarian		5		
community		5		
concordant		5		
conform		5	7	
conformed		5	7	
conforms		5	7	
covenant		5		
democrat	0	5		
devoted		5	7	
faithful		5	7	
familial		5		
fatherland	0	5		
fellowship		5		
fidelity		5	9	11
fraternity		5		
friend		5		
friendship		5		
group		5		
guild		5		
harmonious		5	9	
harmony		5		
insider		5		
loyal	0	5		
loyalty	0	5	7	
member	0	5		
membership	0	5		
nation	0	5		
neighbor		5		
party	0	5		
patriot	0	5	7	
patriotic	0	5	7	
patriotism	0	5	7	
peacemaker		5		
people		5		
reconcile		5		
republic		5		
republican	0	5		
solidarity		5		
together		5		
traditional		5	7	
unison		5		
unite		5		
unity	0	5		
unum		5		
alienate	0	6	8	
alienated	0	6	8	
animosity		6		
apostasy		6	8	10
apostate		6	8	10
astray		6		
betray	0	6		
betrayal	0	6	8	10
betrayed	0	6	8	10
breach		6	8	10
contention		6		
contentions		6		
cross-purpose		6		
deserted		6	8	
deserter		6	8	
deserters		6	8	
discord		6		
disloyal	0	6	8	10
disloyalty	0	6	8	
disputation		6		
disputations		6		
disputed		6		
disrupt		6		
disruption		6		
dissension		6		
dissensions		6		
disunion		6		
disunited		6		
division		6		
divisions		6		
enmity		6		
excommunicated		6		
excommunication		6		
immigrant		6		
imposter		6		
litigious		6		
loggerheads		6		
miscreant		6		
misunderstanding		6		
opposition		6		
outsider		6		
polemic		6		
quarrel		6	10	
quarrels		6	10	
rancor		6		
renegade		6	8	
rupture		6		
spy		6		
subversive	0	6	8	
traitor		6		
traitorous	0	6		
traitors	0	6		
treacherous		6	10	
treachery		6	10	
treason	0	6	8	
treasonous	0	6	8	
unpatriotic	0	6	8	10
unreconcilable		6		
vindictive		6		
accordance		7		
accountability		7		
accountable		7	9	
authoritative	0	7		
authority	0	7	9	
awe		7		
behoove		7		
behooves		7		
caste		7		
castes		7		
class		7		
command	0	7		
commanded	0	7		
commands		7		
compliance	0	7		
comply		7		
conscientious		7		
conscientiously		7		
